"PitID","Month","Year","DataType","YearMonth","sensor","N","measurement","sd","se","ci","sampledepth"
"Mutum","Nov",2013,"VW","2013-11","VW_Avg.5.",38,0.257184210526316,0.00103598140330525,0.000168058375509219,0.000340518613805696,200
"Mutum","Nov",2013,"VW","2013-11","VW_Avg.6.",38,0.305631578947368,0.0014031056794315,0.000227613797314021,0.000461189360599105,300
"Mutum","Nov",2013,"VW","2013-11","VW_Avg.7.",38,0.365815789473684,0.000800515481150664,0.000129860758989437,0.000263122891107637,400
"Mutum","Nov",2013,"VW","2013-11","VW_Avg.8.",38,0.343210526315789,0.00084334901040007,0.000136809274976322,0.0002772019218295,500
"Mutum","Nov",2013,"VW","2013-11","VW_Avg.9.",38,0.341421052631579,0.00110604185804591,0.000179423682042316,0.000363546912243073,600
"Mutum","Dec",2013,"degC","2013-12","tc_e_Avg.2.",46,26.9315217391304,2.71508049186294,0.400316778838272,0.806279380884027,15
"Mutum","Dec",2013,"degC","2013-12","tc_e_Avg.3.",46,26.699347826087,2.40301699459835,0.354305526357043,0.713607961334933,40
"Mutum","Dec",2013,"degC","2013-12","tc_e_Avg.4.",46,26.66,2.18010805032941,0.321439395569607,0.647412175936557,75
"Mutum","Dec",2013,"degC","2013-12","tc_e_Avg.5.",46,26.7647826086957,2.18293557611502,0.321856291502515,0.648251847447838,150
"Mutum","Dec",2013,"degC","2013-12","tc_e_Avg.6.",46,26.5336956521739,2.27400220726528,0.335283333739746,0.67529529872049,250
"Mutum","Dec",2013,"degC","2013-12","tc_e_Avg.7.",46,26.7726086956522,2.29373100697688,0.338192186561813,0.68115402904717,350
"Mutum","Dec",2013,"degC","2013-12","tc_e_Avg.8.",46,26.5886956521739,2.03999848441736,0.300781367095521,0.605804770779302,450
"Mutum","Dec",2013,"VW","2013-12","VW_Avg.1.",46,0.338434782608696,0.00763806890636353,0.00112617182080013,0.00226822648073566,0
"Mutum","Dec",2013,"VW","2013-12","VW_Avg.10.",46,0.342891304347826,0.000604731744736269,8.91628313928794e-05,0.00017958316087061,700
"Mutum","Dec",2013,"VW","2013-12","VW_Avg.11.",46,0.353521739130435,0.000505046991643467,7.44651163980588e-05,0.000149980443290737,800
"Mutum","Dec",2013,"VW","2013-12","VW_Avg.12.",46,0.354934782608696,0.00104141301259488,0.000153547971742153,0.000309261490241651,900
"Mutum","Dec",2013,"VW","2013-12","VW_Avg.2.",46,0.347782608695652,0.00610250601885363,0.000899765424866813,0.00181222059142206,30
"Mutum","Dec",2013,"VW","2013-12","VW_Avg.3.",46,0.320804347826087,0.00751182642450451,0.00110755838232499,0.00223073709122415,50
"Mutum","Dec",2013,"VW","2013-12","VW_Avg.4.",46,0.276195652173913,0.00611962077698497,0.000902288858284815,0.00181730304722088,100
"Mutum","Dec",2013,"VW","2013-12","VW_Avg.5.",46,0.265326086956522,0.00413684983653605,0.000609945232217942,0.00122849275924187,200
"Mutum","Dec",2013,"VW","2013-12","VW_Avg.6.",46,0.306782608695652,0.0024487007301221,0.000361041225687127,0.000727174356182137,300
"Mutum","Dec",2013,"VW","2013-12","VW_Avg.7.",46,0.364978260869565,0.000745031854196931,0.000109848953980506,0.000221247150477153,400
"Mutum","Dec",2013,"VW","2013-12","VW_Avg.8.",46,0.341108695652174,0.000314696387689978,4.63994509958902e-05,9.34532914930333e-05,500
"Mutum","Dec",2013,"VW","2013-12","VW_Avg.9.",46,0.338239130434783,0.000899006429557917,0.000132551266569849,0.000266971955198782,600
"C2","Jan",2015,"VW","2015-1","VW_Avg.1.",75,0.240246666666667,0.0101813295329854,0.00117563866931548,0.00234251118322773,15
